file	keywords
BE-KBR00_15463334_19711201_72_00_00_0_01_0105_29573868.txt	BRUXELLES, page, Banque, IMIFI, DIR, Renseignements, BOURSE, Houblon, publicité, Chronique, Informations, Soc, Clichés, Telex, Louise, rue, pages, ECHO, Guilmot, Industrielle
BE-KBR00_15463334_19711201_72_00_00_0_01_0113_29573876.txt	Bruxelles, Renseignements, annonces, Sables, PEUPLE, SODEPE, prix, Echos, Rue, Telex, col, Avis, Noir, GROUPE, CHEF, Vantrogh, GER., partir, TVA, DIRECT.
BE-KBR00_15463334_19711201_72_00_00_0_01_0141_29573904.txt	TRAVAIL, MONDE, page, Liège, Annonces, DIRECTEUR, Rue, Avis, Renseignements, Groupe, Peuple, tarif, Tél, couleur, VERVIERS, publicité, lère, SODEPE, bas, rouge
BE-KBR00_15463334_19711201_72_00_00_0_01_0342_29574105.txt	Agence, Europe, Gideon, Hayom, CORRESPONDANTS, Abramowicz, Hans, ETRANGERS, BUITENLANDSE, KORRESPONDENTEN, Eclair, Times, Zeitung, Nord, The, Presse, Die, Pierre, Alfred, Stampa
BE-KBR00_15463334_19711201_72_00_00_0_01_0352_29574115.txt	Bruxelles, Tél, London, The, rue, Paris, Telegraph, Sunday, Daily, Times, Télé, NABOKOFF, Reuters, Birmingham, Errera, RADIO, avenue, Louise, GORDON, Monte-Carlo
BE-KBR00_15463334_19711201_72_00_00_0_01_0356_29574119.txt	Bruxelles, Tél, TCHECHOSLOVAQUIE, Tchécoslovaque, New, Moscou, York, rue, Général, Presse, Agence, Lotz, Prague, Egyptiens, avenue, News, Business, Domaine, SULC, ECRITE
BE-KBR00_15463334_19711201_72_00_00_0_01_0373_29574136.txt	Tél, Télex, Henri, GUILLAUME, Paris, Bruxelles, Paul, PORTE-PAROLE, rue, Street, Genève, York, Washington, Santiago, COMEUR, Chili, Luxembourg, New, Presse, GROUPE
BE-KBR00_15463334_19711201_72_00_00_0_01_0378_29574141.txt	Publicité, Bruxelles, belge, rue, Presse, Chambre, Belliard, L'Association, Bru, Fédération, Editeurs, Privilèges, Commission, Publicités, Annonceurs, Conseil, constitution, contact, bonnes, relations
BE-KBR00_15463334_19711201_72_00_00_0_01_0403_29574166.txt	Directeur, Belge, Publicité, Internationale, Administrateur-délégué, Annonceurs, l'Union, Associations, Chambre, Commerce, membres, Administrateur, Président, général, ’Union, Benelux, Belgique, Adverteerders, Belgische, Secrétariat
BE-KBR00_15463334_19711201_72_00_00_0_01_0415_29574178.txt	Bruxelles, Documentatie, Montoyer, Belgisch, Instituut, Voorlichting, rue, Brussel, conseiller, Belgique, Documentation, Institut, VAN, d’Information, voor, Ministère, belge, Président, connaître, Montoyerstraat
BE-KBR00_15463334_19711201_72_00_00_0_01_0438_29574201.txt	Auxiliaire, Commerce, Tél, Presse, Persknipsels, Bruxelles, Insertions, Paris, etc., rue, Recensement, publicité, manifestations, économiques, s'adresseront, utile, ment, spécialisées, quai, désirent
BE-KBR00_15463334_19720301_73_00_00_0_01_0024_29572269.txt	van, het, Die, Belgique, Belgische, bijstand, pays, een, belges, land, professeurs, zij, voor, Congo, Burundi, l'assistance, Ruanda, Tiers-monde, niet, alleen
BE-KBR00_15463334_19730801_79_00_00_0_01_0018_29577910.txt	Presse, Diffu, Moyens, Communication, Journaux, Belgique, initiative, Belge, belges, sion, journal, économie, commerce, Stand, année, Somville, Gazet, Antwer, l'occasion, Prix
